link_id;speed_limit;road_type
384146;60;1040
384147;60;1040
394497;60;1040
394495;60;1040
394494;60;1040
394493;60;1040
394492;60;1040
394491;60;1040
394489;60;1040
394488;60;1040
384149;60;1040
384150;60;1040
384151;60;1040
384152;60;1040
220781;60;1040
383538;60;1040
220792;60;1040
219390;70;1040
205088;70;1040
383550;40;1040
383551;40;1040
383590;60;1040
220723;60;1040
220717;52;1040
220715;50;1040
220714;50;1040
220713;50;1040
220712;50;1040
220711;50;1040
220871;50;1050
220873;50;1050
220296;50;1050
220299;45;1050
220301;45;1050
220302;45;1050
220304;45;1050
220288;50;1050
220287;50;1050
220286;50;1050
220311;50;1050
220315;50;1050
220318;50;1050
220269;40;1050
220270;50;1050
220271;50;1050
220272;50;1050
220273;50;1050
220265;50;1050
220322;50;1050
220321;50;1050
218763;60;1040
218761;60;1040
218760;60;1040
218759;60;1040
218758;60;1040
218757;60;1040
218756;60;1040
218821;60;1040
218804;60;1040
218806;60;1040
218807;60;1040
218808;60;1040
218818;60;1040
218177;70;1040
218178;70;1040
218179;70;1040
218180;70;1040
218181;70;1040
218197;50;1050
218199;50;1050
218201;50;1050
218203;40;1050
204550;70;1040
203036;50;1050
203037;50;1050
203039;50;1050
203045;50;1050
202408;50;1050
202409;50;1050
202386;70;1040
202382;50;1040
202380;50;1040
202379;50;1040
202354;60;1040
202353;60;1040
202352;60;1040
202351;80;1040
203755;80;1040
203748;80;1040
203749;80;1040
203750;80;1040
203751;80;1040
202407;80;1040
202404;60;1040
202403;60;1040
202402;60;1040
202400;60;1040
202373;50;1040
202374;50;1040
202372;50;1040
202361;50;1040
202362;70;1040
202364;70;1040
203038;50;1050
203031;50;1050
204523;70;1040
205140;70;1040
383553;30;1040
383557;30;1040
383531;70;1030
383532;70;1030
383533;70;1030
383534;70;1030
219367;70;1030
219369;70;1030
219370;70;1030
219371;70;1030
219372;70;1030
218744;70;1030
218741;70;1030
218739;70;1030
218827;70;1040
218198;50;1050
218202;40;1050
205089;70;1040
204529;70;1040
218195;50;1050
218232;50;1050
218223;40;1050
218217;50;1050
218215;50;1050
218214;50;1050
219415;50;1050
219417;50;1050
219420;50;1050
219426;45;1050
219433;45;1050
382896;50;1040
382901;50;1050
383615;45;1050
219386;70;1040
219387;50;1040
219388;50;1040
220730;60;1040
220782;60;1040
220780;60;1040
220769;60;1040
218765;60;1040
218764;60;1040
218762;60;1040
218755;60;1040
218805;60;1040
205172;70;1040
384148;60;1040
220724;60;1040
205111;70;1040
218788;70;1040
218753;60;1040
218810;60;1040
218182;70;1040
218183;70;1040
204509;70;1040
204544;70;1040
218205;40;1050
218210;50;1050
218227;50;1050
218228;40;1050
205202;40;1050
205201;40;1050
205091;70;1040
218792;60;1040
218798;60;1040
217432;60;1040
217433;60;1040
218812;60;1040
218811;60;1040
218801;60;1040
218800;60;1040
218766;50;1040
220736;50;1040
220738;50;1040
220739;50;1040
220740;50;1040
220747;50;1040
218754;60;1040
218752;60;1040
217438;60;1040
217440;60;1040
217442;50;1040
217484;50;1050
217489;50;1050
217481;50;1050
215380;50;1050
215379;50;1050
215388;50;1050
215389;50;1050
215364;70;1030
215366;70;1030
215367;70;1030
215368;70;1030
218749;70;1030
218747;70;1030
218746;70;1030
218745;70;1030
219362;70;1030
219363;70;1030
219364;70;1030
383503;70;1030
383540;60;1040
220799;60;1040
204502;52;1040
205167;70;1040
383539;60;1040
220797;60;1040
217434;60;1040
217435;60;1040
217444;50;1040
217447;50;1040
216676;40;1040
